experiment,checkpoint,pred_conf,nms_iou,match_iou_threshold,total_predictions,total_gt,total_matches,correct_matches,wrong_class_matches,unmatched_predictions,unmatched_gt,mean_iou_matched,matched_accuracy,matched_f1_macro,matched_f1_micro,class_aware_precision,class_aware_recall,class_aware_f1,localization_precision,localization_recall,localization_f1,tp,fp,fn
enhanced/epoch25,epoch25,0.25,0.7,0.5,729,760,560,513,47,169,200,0.7797991388610431,0.9160714285714285,0.841022789051289,0.9160714285714285,0.7037037037037037,0.675,0.6890530557421088,0.7681755829903978,0.7368421052631579,0.7521826729348556,513,216,247
enhanced/epoch26,epoch26,0.25,0.7,0.5,825,760,580,531,49,245,180,0.7806974347295432,0.9155172413793103,0.8421343015159649,0.9155172413793103,0.6436363636363637,0.6986842105263158,0.670031545741325,0.703030303030303,0.7631578947368421,0.7318611987381703,531,294,229
enhanced/epoch27,epoch27,0.25,0.7,0.5,791,760,578,531,47,213,182,0.781445798370665,0.9186851211072664,0.8233032501124606,0.9186851211072664,0.6713021491782554,0.6986842105263158,0.6847195357833655,0.7307206068268015,0.7605263157894737,0.7453255963894261,531,260,229
enhanced/epoch28,epoch28,0.25,0.7,0.5,786,760,577,524,53,209,183,0.7776992488361933,0.9081455805892548,0.8383945814909358,0.9081455805892548,0.6666666666666666,0.6894736842105263,0.6778783958602845,0.7340966921119593,0.7592105263157894,0.7464424320827943,524,262,236
enhanced/epoch29,epoch29,0.25,0.7,0.5,772,760,570,522,48,202,190,0.7821018999083,0.9157894736842105,0.8613617773085465,0.9157894736842105,0.6761658031088082,0.6868421052631579,0.6814621409921671,0.7383419689119171,0.75,0.7441253263707571,522,250,238
enhanced/epoch30,epoch30,0.25,0.7,0.5,732,760,566,514,52,166,194,0.7836325424509419,0.9081272084805654,0.828930431243287,0.9081272084805654,0.7021857923497268,0.6763157894736842,0.6890080428954424,0.773224043715847,0.7447368421052631,0.7587131367292225,514,218,246
enhanced/epoch31,epoch31,0.25,0.7,0.5,765,760,574,526,48,191,186,0.7793697305672675,0.9163763066202091,0.8350077417694406,0.9163763066202091,0.6875816993464052,0.6921052631578948,0.6898360655737705,0.7503267973856209,0.7552631578947369,0.7527868852459018,526,239,234
enhanced/epoch32,epoch32,0.25,0.7,0.5,712,760,555,504,51,157,205,0.7841139300449474,0.9081081081081082,0.8595088707532172,0.9081081081081082,0.7078651685393258,0.6631578947368421,0.6847826086956521,0.7794943820224719,0.7302631578947368,0.7540760869565217,504,208,256
enhanced/epoch33,epoch33,0.25,0.7,0.5,748,760,563,513,50,185,197,0.783340903412597,0.911190053285968,0.8319894120192294,0.911190053285968,0.6858288770053476,0.675,0.6803713527851459,0.7526737967914439,0.7407894736842106,0.746684350132626,513,235,247
enhanced/epoch34,epoch34,0.25,0.7,0.5,780,760,576,526,50,204,184,0.7818975498278936,0.9131944444444444,0.842155413615987,0.9131944444444444,0.6743589743589744,0.6921052631578948,0.6831168831168832,0.7384615384615385,0.7578947368421053,0.7480519480519481,526,254,234
enhanced/epoch35,epoch35,0.25,0.7,0.5,789,760,576,527,49,213,184,0.778874083318644,0.9149305555555556,0.8488195876014084,0.9149305555555556,0.6679340937896071,0.6934210526315789,0.6804389928986444,0.7300380228136882,0.7578947368421053,0.7437056165267915,527,262,233
enhanced/epoch36,epoch36,0.25,0.7,0.5,783,760,585,529,56,198,175,0.782082514375703,0.9042735042735043,0.8455476531683168,0.9042735042735043,0.6756066411238825,0.6960526315789474,0.6856772521062864,0.7471264367816092,0.7697368421052632,0.7582631237848347,529,254,231
enhanced/epoch37,epoch37,0.25,0.7,0.5,766,760,589,535,54,177,171,0.7828226067214344,0.9083191850594228,0.8381199983800323,0.9083191850594228,0.6984334203655352,0.7039473684210527,0.7011795543905635,0.7689295039164491,0.775,0.7719528178243775,535,231,225
enhanced/epoch38,epoch38,0.25,0.7,0.5,746,760,573,527,46,173,187,0.780874213831171,0.9197207678883071,0.8624476428759809,0.9197207678883071,0.7064343163538874,0.6934210526315789,0.699867197875166,0.7680965147453083,0.7539473684210526,0.7609561752988047,527,219,233
enhanced/epoch39,epoch39,0.25,0.7,0.5,791,760,580,529,51,211,180,0.7839508099802609,0.9120689655172414,0.8447755688132593,0.9120689655172414,0.6687737041719343,0.6960526315789474,0.68214055448098,0.7332490518331226,0.7631578947368421,0.7479045776918117,529,262,231
enhanced/epoch40,epoch40,0.25,0.7,0.5,805,760,594,541,53,211,166,0.7794196700006222,0.9107744107744108,0.8465309696085598,0.9107744107744108,0.6720496894409937,0.7118421052631579,0.691373801916933,0.737888198757764,0.781578947368421,0.7591054313099042,541,264,219
enhanced/epoch41,epoch41,0.25,0.7,0.5,788,760,574,524,50,214,186,0.7830396717226048,0.9128919860627178,0.8580321476176436,0.9128919860627178,0.6649746192893401,0.6894736842105263,0.6770025839793282,0.7284263959390863,0.7552631578947369,0.7416020671834624,524,264,236
enhanced/epoch42,epoch42,0.25,0.7,0.5,792,760,590,538,52,202,170,0.7803696860701351,0.911864406779661,0.821667734347804,0.911864406779661,0.6792929292929293,0.7078947368421052,0.6932989690721649,0.7449494949494949,0.7763157894736842,0.7603092783505155,538,254,222
enhanced/epoch43,epoch43,0.25,0.7,0.5,791,760,583,531,52,208,177,0.7838108490507149,0.9108061749571184,0.8394651253558534,0.9108061749571184,0.6713021491782554,0.6986842105263158,0.6847195357833655,0.7370417193426043,0.7671052631578947,0.75177304964539,531,260,229
enhanced/epoch44,epoch44,0.25,0.7,0.5,767,760,585,533,52,182,175,0.7837187956541013,0.9111111111111111,0.8305340270182819,0.9111111111111111,0.6949152542372882,0.7013157894736842,0.6981008513425017,0.7627118644067796,0.7697368421052632,0.7662082514734775,533,234,227
enhanced/epoch45,epoch45,0.25,0.7,0.5,789,760,576,522,54,213,184,0.7866552226866285,0.90625,0.8369295362710268,0.90625,0.6615969581749049,0.6868421052631579,0.6739832149774049,0.7300380228136882,0.7578947368421053,0.7437056165267915,522,267,238
enhanced/best,best,0.25,0.7,0.5,781,760,567,512,55,214,193,0.7799894725624636,0.9029982363315696,0.8153139614180535,0.9029982363315696,0.6555697823303457,0.6736842105263158,0.6645035691109669,0.7259923175416133,0.7460526315789474,0.7358857884490592,512,269,248
enhanced/last,last,0.25,0.7,0.5,789,760,576,522,54,213,184,0.7866552226866285,0.90625,0.8369295362710268,0.90625,0.6615969581749049,0.6868421052631579,0.6739832149774049,0.7300380228136882,0.7578947368421053,0.7437056165267915,522,267,238
